Numer of labeled samples:14348   AUC:0.985
Numer of labeled samples:14337   AUC:0.984
Numer of labeled samples:14351   AUC:0.983
Numer of labeled samples:14338   AUC:0.984
Numer of labeled samples:14353   AUC:0.984
Numer of labeled samples:14335   AUC:0.985
Numer of labeled samples:14326   AUC:0.981
Numer of labeled samples:14331   AUC:0.983
Numer of labeled samples:14335   AUC:0.984
Numer of labeled samples:14329   AUC:0.983
Numer of labeled samples:14346   AUC:0.984
Numer of labeled samples:14336   AUC:0.982
Numer of labeled samples:14348   AUC:0.983
Numer of labeled samples:14344   AUC:0.984
Numer of labeled samples:14348   AUC:0.984
Numer of labeled samples:14336   AUC:0.983
Numer of labeled samples:14342   AUC:0.983
Numer of labeled samples:14352   AUC:0.984
Numer of labeled samples:14343   AUC:0.984
Numer of labeled samples:14331   AUC:0.983
Numer of labeled samples:14346   AUC:0.984
Numer of labeled samples:14345   AUC:0.985
Numer of labeled samples:14348   AUC:0.985
Numer of labeled samples:14343   AUC:0.984
Numer of labeled samples:14347   AUC:0.985
Numer of labeled samples:14359   AUC:0.984
Numer of labeled samples:14354   AUC:0.983
Numer of labeled samples:14342   AUC:0.983
Numer of labeled samples:14366   AUC:0.985
Numer of labeled samples:14339   AUC:0.982
Numer of labeled samples:14342   AUC:0.983
Numer of labeled samples:14338   AUC:0.982
Numer of labeled samples:14360   AUC:0.984
Numer of labeled samples:14347   AUC:0.984
Numer of labeled samples:14352   AUC:0.982
Numer of labeled samples:14346   AUC:0.982
Numer of labeled samples:14354   AUC:0.982
Numer of labeled samples:14347   AUC:0.984
Numer of labeled samples:14345   AUC:0.982
Numer of labeled samples:14348   AUC:0.982
Numer of labeled samples:14359   AUC:0.985
Numer of labeled samples:14346   AUC:0.984
Numer of labeled samples:14356   AUC:0.984
Numer of labeled samples:14347   AUC:0.982
Numer of labeled samples:14349   AUC:0.983
Numer of labeled samples:14358   AUC:0.982
Numer of labeled samples:14364   AUC:0.983
Numer of labeled samples:14354   AUC:0.982
Numer of labeled samples:14363   AUC:0.983
Numer of labeled samples:14354   AUC:0.983
Numer of labeled samples:14360   AUC:0.982
Numer of labeled samples:14353   AUC:0.982
Numer of labeled samples:14358   AUC:0.983
Numer of labeled samples:14347   AUC:0.983
Numer of labeled samples:14362   AUC:0.982
Numer of labeled samples:14360   AUC:0.983
Numer of labeled samples:14361   AUC:0.983
Numer of labeled samples:14356   AUC:0.981
Numer of labeled samples:14359   AUC:0.984
Numer of labeled samples:14360   AUC:0.984
Numer of labeled samples:14361   AUC:0.983
Numer of labeled samples:14366   AUC:0.983
Numer of labeled samples:14357   AUC:0.982
Numer of labeled samples:14348   AUC:0.982
Numer of labeled samples:14365   AUC:0.981
Numer of labeled samples:14360   AUC:0.983
Numer of labeled samples:14363   AUC:0.982
Numer of labeled samples:14362   AUC:0.980
Numer of labeled samples:14368   AUC:0.982
Numer of labeled samples:14363   AUC:0.982
Numer of labeled samples:14371   AUC:0.983
Numer of labeled samples:14367   AUC:0.982
Numer of labeled samples:14356   AUC:0.983
Numer of labeled samples:14368   AUC:0.981
Numer of labeled samples:14374   AUC:0.982
Numer of labeled samples:14367   AUC:0.981
Numer of labeled samples:14364   AUC:0.982
Numer of labeled samples:14366   AUC:0.982
Numer of labeled samples:14371   AUC:0.981
Numer of labeled samples:14370   AUC:0.981
Numer of labeled samples:14371   AUC:0.981
Numer of labeled samples:14369   AUC:0.983
Numer of labeled samples:14375   AUC:0.984
Numer of labeled samples:14379   AUC:0.983
Numer of labeled samples:14368   AUC:0.983
Numer of labeled samples:14363   AUC:0.981
Numer of labeled samples:14371   AUC:0.983
Numer of labeled samples:14366   AUC:0.983
Numer of labeled samples:14373   AUC:0.982
Numer of labeled samples:14370   AUC:0.983
Numer of labeled samples:14364   AUC:0.984
Numer of labeled samples:14363   AUC:0.980
Numer of labeled samples:14372   AUC:0.982
Numer of labeled samples:14373   AUC:0.981
Numer of labeled samples:14368   AUC:0.981
Numer of labeled samples:14374   AUC:0.982
Numer of labeled samples:14376   AUC:0.981
Numer of labeled samples:14373   AUC:0.981
Numer of labeled samples:14374   AUC:0.982
Numer of labeled samples:14381   AUC:0.983
Numer of labeled samples:14373   AUC:0.982
Numer of labeled samples:14376   AUC:0.982
Numer of labeled samples:14372   AUC:0.982
Numer of labeled samples:14380   AUC:0.979
Numer of labeled samples:14372   AUC:0.981
Numer of labeled samples:14385   AUC:0.981
Numer of labeled samples:14383   AUC:0.982
